co2_rank;nace_id;nace_id_2_digit;nace_desc_2_digit;employees_rank;out_strength_rank;esri_ew_19;esri_ew_rank;esri_ow_19;esri_ow_rank;emission_employees_rank;emission_out_strength_rank;emission_esri_ew_rank;emission_esri_ow_rank;emission_esri_ew_esri_ow_arithmetic_rank;emission_esri_ew_esri_ow_geometric_rank;parent_id;parent_id_desc;color_parent_id;emissions_rel;emissions_rel_industry;emissions_rel_VS_ew_esri
14;35.3;35;Electricity, gas, steam and air conditioning supply;10;12;1.28532116105631e-06;4;2.02494160439857e-06;6;6;4;2;1;1;1;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.47208107646702774;1.4005321981834833;367286.47342821263
52;35.11;35;Electricity, gas, steam and air conditioning supply;6;8;4.2853578866748e-07;2;8.16210515712363e-07;3;8;11;3;5;2;2;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.03652941815529309;0.10837254204356901;85242.39776771105
4;35.11;35;Electricity, gas, steam and air conditioning supply;77;37;0.0001264395629711;39;2.34650624491438e-05;13;14;6;6;2;4;3;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;2.11721943724489;6.281196473014076;16744.91264833633
58;35.11;35;Electricity, gas, steam and air conditioning supply;7;13;4.31204370408444e-07;3;1.80977318398459e-06;5;9;15;4;7;3;4;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.03233591482625363;0.09593159338393849;74989.76597946933
57;35.3;35;Electricity, gas, steam and air conditioning supply;5;31;7.67763345245825e-08;1;1.478848993298e-05;11;1;26;1;11;6;5;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.03237161082054227;0.0960374933910338;421635.27369462285
2;51.1;51;Air transport;115;21;0.0016643024388936;89;6.7287802878391e-05;24;32;2;11;4;7;6;H;TRANSPORTATION AND STORAGE;tab:red;3.680939891049617;10.920316644704693;2211.7013140331896
28;35.3;35;Electricity, gas, steam and air conditioning supply;2;23;1.24464883664134e-05;9;2.28012036025988e-05;12;2;13;7;9;5;7;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.15996771840516505;0.4745793709272526;12852.437868084524
8;35.11;35;Electricity, gas, steam and air conditioning supply;24;4;5.52341027821922e-05;23;0.0009876982024575;72;7;1;5;12;8;8;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;1.4157341734825322;4.200086368362308;25631.522957207755
68;35.3;35;Electricity, gas, steam and air conditioning supply;49;6;4.241567241599e-05;20;4.09334390912383e-07;1;64;9;25;3;13;9;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.023101516303757393;0.06853572198319773;544.6457638862871
79;51.1;51;Air transport;31;3;2.21517254420212e-05;10;6.91331830210413e-07;2;51;5;17;6;11;10;H;TRANSPORTATION AND STORAGE;tab:red;0.01916409293374513;0.056854490765772626;865.1286773982574
5;24.1;7;;113;45;0.0016678908141922;90;0.0002609427877548;46;43;8;14;8;10;11;B;MINING AND QUARRYING;tab:pink;1.8496407120574863;5.4873654154795695;1108.9699015779472
11;35.11;35;Electricity, gas, steam and air conditioning supply;35;81;0.0002199368546845;52;0.0007021240835816;64;12;20;8;13;9;12;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.9928111371502182;2.9453922929934575;4514.073544310745
61;35.11;35;Electricity, gas, steam and air conditioning supply;39;24;2.91347492334819e-05;14;8.43019480644703e-06;10;49;22;16;10;12;13;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.029340555305511152;0.08704520148420242;1007.0639383363128
15;35.3;35;Electricity, gas, steam and air conditioning supply;14;93;0.0001448124831845;42;0.0010226691350227;73;10;53;9;22;16;14;D;ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY;tab:orange;0.4614933341610665;1.3691213352093903;3186.8339248978673
